5591,"Amour - The Patio Restaurant, Cafe & Bar",3.4,100,"French, Mediterranean, Italian, Sea Food, Spanish, Pizza","30, Hauz Khas Village, New Delhi","Rs. 1500","12:30 PM to 12:30 AM      "
5792,"Boheme",4.1,89,"Mediterranean, European, Italian, Spanish","22,  Top Floor, Hauz Khas Village, New Delhi ","Rs. 1200","12 Noon to 11 PM      "
4405,"The [V] Spot Cafe Bar",3.8,100,"Fast Food, Mexican, Italian","G 02, Salcon Ras Vilas, District Centre, Lane Next to KFC, Behind Select City Walk, Saket, New Delhi","Rs. 800","11 AM to 1 AM      "
3941,"1 Cafe Lounge",4.0,77,"Italian, North Indian, Mediterranean","M 89/90, 1st Floor, Outer Circle, Connaught Place, New Delhi","Rs. 1600","12 Noon to 1 AM       "
3393,"Parikrama - The Revolving Restaurant",3.0,68,"Chinese, North Indian","Antariksh Bhavan, 22, Kasturba Gandhi Marg, Connaught Place, New Delhi","Rs. 1500","11:30 AM to 11 PM      "
3384,"Underdoggs Sports Bar & Grill",3.7,103,"American, Mediterranean, Italian","F 38, Level 1, Ambience Mall, Vasant Kunj, New Delhi","Rs. 2000","12 Noon to 1 AM      "
1188,"Lodi - The Garden Restaurant",3.9,79,"Continental, Mediterranean, Italian, French","Opposite Mausam Bhawan, Near Gate No 1, Lodhi Road, New Delhi","Rs. 2000","11 AM to 12 Midnight      "
912,"Urban Pind",3.3,125,"North Indian, Italian","N4, N Block Market, Greater Kailash (GK) 1, New Delhi","Rs. 2000","12 Noon to 1 AM       "
1212,"Barbeque Nation",3.8,141,"European, North Indian, Mediterranean","B 1/623, Old Rameshwaram Building, Near District Centre, Janakpuri, New Delhi","Rs. 1200","12:30 PM to 3 PM, 7 PM to 11 PM      "
1211,"Barbeque Nation",3.7,142,"European, North Indian, Mediterranean","Ground Floor, Ansal's Sushant Plaza, Block A, Sector 28, Sushant Lok Phase 1, Gurgaon","Rs. 1200","12:30 PM to 3 PM, 7:30 PM to 11...      "
2664,"T.L.R. Cafe",3.7,48,"Continental, Italian","31, Hauz Khas Village, New Delhi","Rs. 1600","11 AM to 1 AM      "
2742,"Bukhara - ITC Maurya",3.6,56,"North Indian","ITC Maurya, The Luxury Collection, Sardar Patel Marg, New Delhi","Rs. 5000","12:30 PM to 2:30 PM, 7 PM to...      "
4484,"1 Boulevard",3.6,44,"Lounge, Fast Food, Sea Food","G 11 to 14, Salcon Mall, Next to Select City Walk, Back Wing, Saket, Delhi","Rs. 1000","11 AM to 12:30 AM       "
4354,"Circa 1193",3.4,35,"European, Japanese, Continental","1580/1, Kalkadas Marg, Next to Qutub Minar, Mehrauli, New Delhi","Rs. 2800","12:30 PM to 11:45 PM (3 PM to...      "
1899,"F Bar and Lounge - The Ashok",4.0,72,"Continental, European, Others","The Ashok, 50-B, Chanakyapuri, New Delhi","Rs. 3000","24 Hours      "
4741,"Boombox Cafe",3.4,67,"Mexican, Asian, American, Fast Food, French, North Indian, Italian","2 and 3, Khan Market, New Delhi","Rs. 1800","12 Noon to 1 AM       "
2760,"Vapour",3.7,143,"Continental, Asian, North Indian, Thai, Chinese","2nd Floor, MGF Mega City Mall, MG Road, Gurgaon","Rs. 1800","12 Noon to 12:30 AM       "
4752,"Lighthouse 13",3.7,27,"European, Mediterranean","No 13, First Floor, MGF Mall, Saket, Delhi","Rs. 1800","12 Noon to 12:30 AM      "
3077,"Pirates of Grill",3.4,116,"North Indian","C12, Vishal Enclave, Main Nazafgarh Road, Rajouri Garden, New Delhi","Rs. 900","12 Noon to 3 PM, 7:30 PM to 11:30...      "
2788,"Hard Rock Cafe",3.9,95,"American, Fast Food, Mexican, North Indian","M 110, 1st Floor, DLF Place, Multiplex Building, District Centre, Saket, New Delhi","Rs. 2000","12 Noon to 1 AM      "
3258,"Olive Bar and Kitchen",3.7,28,"Italian, Mediterranean","One Milestone, Mehrauli, New Delhi","Rs. 2000","12:30 PM to 12 Midnight      "
4907,"Kitty Su - The Lalit",4.1,42,"Pub","The Lalit, Barakhamba Avenue, Connaught Place, New Delhi","Rs. 2000","10 PM to 5 AM      "
2750,"Ice Lounge",3.9,56,"Lebanese, Chinese, Continental","1st Floor, MGF Metropolitan Mall, Saket, New Delhi","Rs. 2000","1 PM to 1 AM      "
490,"Desi Vibes",4.0,96,"North Indian","G-50, Sector 18, Noida","Rs. 850","12 Noon to 3:45 PM, 7 PM to 11:45...       "
4283,"FIO Country Kitchen and Bar",3.7,41,"Italian, North Indian","Gate No 1, Garden of Five Senses, Saidulajab, Saket, New Delhi","Rs. 2000","12 Noon to 12:30 AM      "
